"ocean","bioregion","type","site","CO","categorization"
"Arctic","Arctic Basin","MPA","Tuvaijuittuq Marine Protected Area","To contribute to the conservation, protection and understanding of the natural diversity, productivity and dynamism of the High Arctic sea ice ecosystem.","Robust"
"Arctic","Eastern Arctic","Marine Refuge","Davis Strait Conservation Area","To conserve sensitive benthic areas.","Robust"
"Arctic","Eastern Arctic","Marine Refuge","Disko Fan Conservation Area (portion closed to all bottom-contact fishing)","Minimize impacts on winter food source and overwintering habitat for narwhal; Conserve coral concentrations.","Robust"
"Arctic","Eastern Arctic","Marine Refuge","Hatton Basin Conservation Area","To conserve sensitive benthic areas.","Robust"
"Arctic","Eastern Arctic","National Marine Conservation Area","Tallurutiup Imanga National Marine Conservation Area","The natural and cultural heritage of Tallurutiup Imanga is protected and conserved","Robust"
"Arctic","Eastern Arctic","National Marine Conservation Area","Tallurutiup Imanga National Marine Conservation Area","The sustainable use of marine and terrestrial resources in Tallurutiup Imanga NMCA respects Inuit rights, results in economic and social benefits for Inuit, and enhances the well-being of the associated communities","Robust"
"Arctic","Western Arctic","MPA","Anguniaqvia niqiqyuam Marine Protected Area","to maintain the integrity of the marine environment offshore of the Cape Parry Migratory Bird Sanctuary so that it is productive and allows for higher trophic level feeding","Vulnerable"
"Arctic","Western Arctic","MPA","Anguniaqvia niqiqyuam Marine Protected Area","to maintain the habitat to support populations of key species (such as beluga whales, Arctic char, and ringed and bearded seals)","Vulnerable"
"Arctic","Western Arctic","MPA","Tarium Niryutait Marine Protected Area","Conserve and protect beluga whales and other marine species (anadromous fish, waterfowl and seabirds), their habitats and their supporting ecosystem.","Vulnerable"
"Atlantic","Gulf of Saint Lawrence","MPA","Banc-des-Américains Marine Protected Area","conserve and protect benthic (seabed) habitats","Robust"
"Atlantic","Gulf of Saint Lawrence","MPA","Banc-des-Américains Marine Protected Area","conserve and protect pelagic (water column) habitats and forage species (prey)","Robust"
"Atlantic","Gulf of Saint Lawrence","MPA","Banc-des-Américains Marine Protected Area","promote the recovery of at-risk whales and wolffish","Vulnerable"
"Atlantic","Gulf of Saint Lawrence","MPA","Basin Head Marine Protected Area","Maintain the quality of the marine environment supporting the Basin Head Irish moss (<em>Chondrus crispus</em>).","Vulnerable"
"Atlantic","Gulf of Saint Lawrence","MPA","Basin Head Marine Protected Area","Maintain the physical structures of the ecosystem supporting the Basin Head Irish moss (<em>Chondrus crispus</em>).","Vulnerable"
"Atlantic","Gulf of Saint Lawrence","MPA","Basin Head Marine Protected Area","Maintain the health (biomass and coverage) of the Basin Head Irish moss (<em>Chondrus crispus</em>).","Vulnerable"
"Atlantic","Gulf of Saint Lawrence","MPA","Basin Head Marine Protected Area","Maintain the overall ecological integrity of the Basin Head lagoon and inner channel. This includes avoidance of excessive <em>Ulva</em> growth, maintenance of adequate oxygen levels, and maintenance of the diversity of indigenous flora and fauna.","Vulnerable"
"Atlantic","Gulf of Saint Lawrence","Marine Refuge","Bay of Islands Salmon Migration","to protect Atlantic salmon migratory area.","Vulnerable"
"Atlantic","Gulf of Saint Lawrence","Marine Refuge","Beaugé Bank Sponge Conservation Area","Cold-water sponge protection","Robust"
"Atlantic","Gulf of Saint Lawrence","Marine Refuge","Central Gulf of St. Lawrence Coral Conservation Area","Cold-water coral protection","Robust"
"Atlantic","Gulf of Saint Lawrence","Marine Refuge","East of Anticosti Island Sponge Conservation Area","Cold-water sponge protection","Robust"
"Atlantic","Gulf of Saint Lawrence","Marine Refuge","Eastern Gulf of St. Lawrence Coral Conservation Area","Cold-water coral protection","Robust"
"Atlantic","Gulf of Saint Lawrence","Marine Refuge","Eastern Honguedo Strait Coral and Sponge Conservation Area","Cold-water coral and sponge protection","Robust"
