"type","mechanism","ocean","bioregion","site","conservation_objectives","prohibitions"
"MPA","Oceans Act","Pacific","Northern Shelf","Hecate Strait and Queen Charlotte Sound Glass Sponge Reefs Marine Protected Areas","Conserve the biological diversity, structural habitat, and ecosystem function of the glass sponge reefs.","Prohibit any activities that disturb, damage, destroy or remove any living marine organism or any part of its habitat from the area, unless listed as exceptions in the regulations or approved by the minister"
"Marine Refuge","Variation Order","Pacific","Northern Shelf","Banks marine refuge","protect rockfish and their habitat, corals, and sponges.","no commercial and recreational fishing for prawn or crab by trap; Rockfish Conservation Area closures remain in effect."
"Marine Refuge","Variation Order","Pacific","Northern Shelf","Gwa̲xdlala/Nala̲xdlala (Lull/Hoeya) marine refuge","Protect corals and sponges and contribute to long-term conservation and species biodiversity.","all commercial, recreational, and Food, Social and Ceremonial fishing activities."
"Marine Refuge","Variation Order and Fisheries Management Direction (under the Council of the Haida Nation)","Pacific","Northern Shelf","G̱aw Ḵáahlii (Masset Inlet) marine refuge","protect ecologically and culturally important species and habitats, including salmon and seabirds.","no commercial and recreational fishing activities (with the exception of recreational shore-based angling)."
"Marine Refuge","Variation Order and Fisheries Management Direction (under the Council of the Haida Nation)","Pacific","Northern Shelf","X̲aana K̲aahlii (Skidegate Inlet) marine refuge","protect ecologically and culturally important species and habitats, including salmon and seabirds.","no commercial and recreational fishing activities (with the exception of recreational shore-based angling)."
"National Marine Conservation Area","Canada National Marine Conservation Areas Act","Pacific","Northern Shelf","Gwaii Haanas National Marine Conservation Area Reserve & Haida Heritage Site","Protect and conserve habitats, species and food webs in Gwaii Haanas",NA
"National Marine Conservation Area","Canada National Marine Conservation Areas Act","Pacific","Northern Shelf","Gwaii Haanas National Marine Conservation Area Reserve & Haida Heritage Site","Restore habitats, species and food webs in Gwaii Haanas",NA
"National Marine Conservation Area","Canada National Marine Conservation Areas Act","Pacific","Northern Shelf","Gwaii Haanas National Marine Conservation Area Reserve & Haida Heritage Site","Ensure fisheries in Gwaii Haanas are ecologically sustainable",NA
"MPA","Oceans Act","Pacific","Offshore Pacific","SGaan Kinghlas-Bowie Seamount Marine Protected Area","Conserve and protect the unique biodiversity and biological productivity of the area's marine ecosystem, including seamounts and the surrounding waters, seabed and subsoil.","Prohibit activities that disturb, damage, destroy or remove from this area, living marine organisms or any part of their habitat or the seabed"
"MPA","Oceans Act","Pacific","Offshore Pacific","Tanggwan - hacxwiquak-Tsigis Marine Protected Area","To conserve, protect and enhance understanding of unique seafloor features, including seamounts and hydrothermal vents, and the marine ecosystems they support in the  MPA.",NA
"Marine Refuge","Variation Order and/or Condition of Licence","Pacific","Strait of Georgia","Strait of Georgia and Howe Sound Glass Sponge Reef (17 fisheries area closures)","17 area closures to protect glass sponge reefs.","Prohibits all bottom-contacting commercial, recreational, and Indigenous food, social and ceremonial fishing activities."
"MPA","Oceans Act","Arctic","Arctic Basin","Tuvaijuittuq Marine Protected Area","To contribute to the conservation, protection and understanding of the natural diversity, productivity and dynamism of the High Arctic sea ice ecosystem.",NA
"Marine Refuge","Variation Order and/or Condition of Licence","Arctic","Eastern Arctic","Davis Strait Conservation Area","To conserve sensitive benthic areas.","All bottom-contact fishing activities."
"Marine Refuge","Variation Order and/or Condition of Licence","Arctic","Eastern Arctic","Disko Fan Conservation Area (portion closed to all bottom-contact fishing)","Minimize impacts on winter food source and overwintering habitat for narwhal; Conserve coral concentrations.","All bottom-contact fishing activities."
"Marine Refuge","Variation Order and/or Condition of Licence","Arctic","Eastern Arctic","Hatton Basin Conservation Area","To conserve sensitive benthic areas.","All bottom-contact fishing activities."
"National Marine Conservation Area","Canada National Marine Conservation Areas Act","Arctic","Eastern Arctic","Tallurutiup Imanga National Marine Conservation Area","The natural and cultural heritage of Tallurutiup Imanga is protected and conserved",NA
"National Marine Conservation Area","Canada National Marine Conservation Areas Act","Arctic","Eastern Arctic","Tallurutiup Imanga National Marine Conservation Area","The sustainable use of marine and terrestrial resources in Tallurutiup Imanga NMCA respects Inuit rights, results in economic and social benefits for Inuit, and enhances the well-being of the associated communities",NA
"MPA","Oceans Act","Arctic","Western Arctic","Anguniaqvia niqiqyuam Marine Protected Area","to maintain the integrity of the marine environment offshore of the Cape Parry Migratory Bird Sanctuary so that it is productive and allows for higher trophic level feeding","Prohibit activities that disturb, damage, destroy, or remove from this area, living marine organisms or any part of their habitat, unless listed as exceptions in the regulations or approved by the minister"
"MPA","Oceans Act","Arctic","Western Arctic","Anguniaqvia niqiqyuam Marine Protected Area","to maintain the habitat to support populations of key species (such as beluga whales, Arctic char, and ringed and bearded seals)","Prohibit activities that disturb, damage, destroy, or remove from this area, living marine organisms or any part of their habitat, unless listed as exceptions in the regulations or approved by the minister"
"MPA","Oceans Act","Arctic","Western Arctic","Tarium Niryutait Marine Protected Area","Conserve and protect beluga whales and other marine species (anadromous fish, waterfowl and seabirds), their habitats and their supporting ecosystem.","Prohibit activities that disturb, damage, destroy or remove from these areas, living marine organisms or any part of their habitat, unless listed as exceptions in the regulations or approved by the minister"
"MPA","Oceans Act","Atlantic","Gulf of Saint Lawrence","Banc-des-Américains Marine Protected Area","conserve and protect benthic (seabed) habitats","Prohibit any activity that disturbs, damages, destroys or removes from the marine protected area any living marine organisms or any part of its habitat, or that is likely to do so"
"MPA","Oceans Act","Atlantic","Gulf of Saint Lawrence","Banc-des-Américains Marine Protected Area","conserve and protect pelagic (water column) habitats and forage species (prey)","Prohibit any activity that disturbs, damages, destroys or removes from the marine protected area any living marine organisms or any part of its habitat, or that is likely to do so"
"MPA","Oceans Act","Atlantic","Gulf of Saint Lawrence","Banc-des-Américains Marine Protected Area","promote the recovery of at-risk whales and wolffish","Prohibit any activity that disturbs, damages, destroys or removes from the marine protected area any living marine organisms or any part of its habitat, or that is likely to do so"
"MPA","Oceans Act","Atlantic","Gulf of Saint Lawrence","Basin Head Marine Protected Area","Maintain the quality of the marine environment supporting the Basin Head Irish moss (<em>Chondrus crispus</em>).","Prohibit activities that disturb, damage, destroy or remove from this area, living marine organisms or any part of their habitat, unless listed as exceptions in the regulations or approved by the minister"
"MPA","Oceans Act","Atlantic","Gulf of Saint Lawrence","Basin Head Marine Protected Area","Maintain the physical structures of the ecosystem supporting the Basin Head Irish moss (<em>Chondrus crispus</em>).","Prohibit activities that disturb, damage, destroy or remove from this area, living marine organisms or any part of their habitat, unless listed as exceptions in the regulations or approved by the minister"
"MPA","Oceans Act","Atlantic","Gulf of Saint Lawrence","Basin Head Marine Protected Area","Maintain the health (biomass and coverage) of the Basin Head Irish moss (<em>Chondrus crispus</em>).","Prohibit activities that disturb, damage, destroy or remove from this area, living marine organisms or any part of their habitat, unless listed as exceptions in the regulations or approved by the minister"
"MPA","Oceans Act","Atlantic","Gulf of Saint Lawrence","Basin Head Marine Protected Area","Maintain the overall ecological integrity of the Basin Head lagoon and inner channel. This includes avoidance of excessive <em>Ulva</em> growth, maintenance of adequate oxygen levels, and maintenance of the diversity of indigenous flora and fauna.","Prohibit activities that disturb, damage, destroy or remove from this area, living marine organisms or any part of their habitat, unless listed as exceptions in the regulations or approved by the minister"
"Marine Refuge","Licence Condition","Atlantic","Gulf of Saint Lawrence","Bay of Islands Salmon Migration","to protect Atlantic salmon migratory area.","Prohibits all pelagic fixed gear fisheries."
"Marine Refuge","Variation Order and/or Condition of Licence","Atlantic","Gulf of Saint Lawrence","Beaugé Bank Sponge Conservation Area","Cold-water sponge protection","Prohibits all fishing that uses bottom-contact gear, such as bottom trawls, dredges, bottom seining, traps, gillnets, and bottom longlines."
"Marine Refuge","Variation Order and/or Condition of Licence","Atlantic","Gulf of Saint Lawrence","Central Gulf of St. Lawrence Coral Conservation Area","Cold-water coral protection","Prohibits all fishing that uses bottom-contact gear, such as bottom trawls, dredges, bottom seining, traps, gillnets, and bottom longlines."
"Marine Refuge","Variation Order and/or Condition of Licence","Atlantic","Gulf of Saint Lawrence","East of Anticosti Island Sponge Conservation Area","Cold-water sponge protection","Prohibits all fishing that uses bottom-contact gear, such as bottom trawls, dredges, bottom seining, traps, gillnets, and bottom longlines."
"Marine Refuge","Variation Order and/or Condition of Licence","Atlantic","Gulf of Saint Lawrence","Eastern Gulf of St. Lawrence Coral Conservation Area","Cold-water coral protection","Prohibits all fishing that uses bottom-contact gear, such as bottom trawls, dredges, bottom seining, traps, gillnets, and bottom longlines."
"Marine Refuge","Variation Order and/or Condition of Licence","Atlantic","Gulf of Saint Lawrence","Eastern Honguedo Strait Coral and Sponge Conservation Area","Cold-water coral and sponge protection","Prohibits all fishing that uses bottom-contact gear, such as bottom trawls, dredges, bottom seining, traps, gillnets, and bottom longlines."
"Marine Refuge","Variation Order and/or Condition of Licence","Atlantic","Gulf of Saint Lawrence","Jacques-Cartier Strait Sponge Conservation Area","Cold-water sponge protection","Prohibits all fishing that uses bottom-contact gear, such as bottom trawls, dredges, bottom seining, traps, gillnets, and bottom longlines."
"Marine Refuge","Condition of Licence","Atlantic","Gulf of Saint Lawrence","Les Demoiselles nursery (Plaisance Bay), Magdalen Islands Closure","to protect habitat used as a nursery ground for juvenile lobster.","Prohibits hydraulic dredging for Atlantic surf clam and Atlantic razor clam, otter trawling, and Danish and Scottish seine fishing for the winter flounder, witch flounder, yellowtail flounder, and American plaice."
"Marine Refuge","Variation Order and/or Condition of Licence","Atlantic","Gulf of Saint Lawrence","Lobster Area closures (Trout River, Shoal Point, Penguin Islands, Gooseberry Island, Glovers Harbour, Mouse Island and Gander Bay)","to increase lobster spawning and egg production.","Prohibits all lobster fishing."
"Marine Refuge","Condition of Licence / Variation Order","Atlantic","Gulf of Saint Lawrence","Magdalen Islands lagoons (6 overlapping fisheries area closures)","to protect lobster habitat and conserve herring spawning areas.","Prohibits hydraulic dredging fishing for the Atlantic razor clam and the Atlantic surf clam, gill net and square net fishing for winter flounder, gill net fishing for Atlantic herring, pelagic trawling, Danish and Scottish seine fishing for the yellowtail flounder and winter flounder, and American lobster trap fishing."
"Marine Refuge","Variation Order","Atlantic","Gulf of Saint Lawrence","Miramichi Bay Closure","Protect adult Atlantic salmon and an important migration corridor.","Prohibits the use of gillnets for all commercial groundfish fisheries."
"Marine Refuge","Variation Order and/or Condition of Licence","Atlantic","Gulf of Saint Lawrence","North of Bennett Bank Coral Conservation Area","Cold-water coral protection","Prohibits all fishing that uses bottom-contact gear, such as bottom trawls, dredges, bottom seining, traps, gillnets, and bottom longlines."
"Marine Refuge","Variation Order and/or Condition of Licence","Atlantic","Gulf of Saint Lawrence","Parent Bank Sponge Conservation Area","Cold-water sponge protection","Prohibits all fishing that uses bottom-contact gear, such as bottom trawls, dredges, bottom seining, traps, gillnets, and bottom longlines."
"Marine Refuge","Regulation and Condition of Licence","Atlantic","Gulf of Saint Lawrence","Saguenay Fjord Upstream Closure","to protect habitat for the beluga whale, a mammal designated as endangered and listed as threatened in the Species at Risk Act, and to avoid stirring up contaminants contained in the river's sediments.","Prohibits otter trawl fishing for all species."
